OBJECTID,NAME,GeoNew,SqMi,Zip_Code,Median_Inc,Median_I_1,Percent_Re,RSO,Occupied_H,RSO_per_Oc,Per_who_Pa,Population,High_Chang,Current_Ra,Future_Rai,Housing_Pr,Affordable,Eligible,F7indicato,F2000_est,Difference,Percent_Di,Exclusion_,SHAPE_Length,SHAPE_Area
1,2049.20,A06037204920,0.351263251511,90023,45682,8961,53.909304,327,602,0.543189,25.666667,2558,0,0,0,0,0,Eligible,0.116215722959,2637,-79,-2.995828593, ,0.038660693147353,8.87964794814767e-05
2,2051.10,A06037205110,0.110796586031,90023,28600,7038,100,899,796,1.129397,38.819096,3567,0,0,0,0,0,Eligible,0.234802222395,4098,-531,-12.95754026, ,0.0286768805714967,2.80108345735558e-05
3,2051.20,A06037205120,0.56591643335,90023,25219,4114,87.260235,411,935,0.439572,24.941452,3493,0,0,0,0,0,Eligible,0.181090332484,3880,-387,-9.974226804, ,0.0604583866144746,0.000143061184440486
4,2060.10,A06037206010,0.555467512099,90012,17378,2185,87.144527,395,976,0.404713,22.674419,2596,0.891084,1,0,0,0.300511,Eligible,0.398782495641,3511,-915,-26.05741814, ,0.0634013892731919,0.000140504199132435
5,2060.50,A06037206050,0.671058872906,90023,21385,4627,98.144057,167,783,0.213282,37.15415,2444,0.81342,0.856287,0,0,0,Eligible,0.409913767483,1561,883,56.56630365, ,0.0732358683931293,0.000169667059121938
6,2074,A06037207400,0.335679347773,90012,10625,2037,100,0,24,0,16.666667,969,0.891084,1,0.9,0,0,Eligible,0.361230991596,1846,-877,-47.51908252, ,0.045933442871949,8.48960197394488e-05
7,1924.10,A06037192410,0.264050157965,90004,56740,12076,63.255034,1078,1643,0.656117,31.183746,3576,0.864469,0,0,0,0,Eligible,0.28097470878,3923,-347,-8.845271476, ,0.0329032009162772,6.67996956623978e-05
8,1925.10,A06037192510,0.131561712218,90004,37476,9339,76.5204,635,1179,0.538592,30.957447,3911,0.864469,0,0,0,0,Eligible,0.303970784083,3959,-48,-1.212427381, ,0.0238766898284087,3.32826297599955e-05
9,1925.20,A06037192520,0.118841527838,90004,31674,5591,91.456422,1254,1586,0.790668,35.181383,5232,0.864469,0,0,0.638853,0,Eligible,0.444374771265,5471,-239,-4.368488393, ,0.0228482673828107,3.00646846900933e-05
10,1926.10,A06037192610,0.160386141802,90004,31305,7174,90.205243,1098,1493,0.735432,31.811487,4953,0.864469,0.912637,0,0,0.242242,Eligible,0.422518238971,4742,211,4.449599325, ,0.0280177986671981,4.05753926825515e-05
11,1927,A06037192700,0.205094848841,90004,29157,8395,79.878461,660,1095,0.60274,44.714588,3326,0.864469,0.999992,0,0,0,Eligible,0.413318442159,3946,-620,-15.71211353, ,0.0288497032978296,5.18852121558765e-05
12,1953,A06037195300,0.224068755388,90027,66250,20099,71.660496,1250,1507,0.829463,27.772926,3518,0.879619,0.904682,0,0,0,Eligible,0.367114096605,3596,-78,-2.169076752, ,0.0345686184550211,5.66983320885249e-05
13,1956,A06037195600,0.203696177121,90026,43053,8999,75.61051,817,1235,0.661538,29.418222,3271,0.907053,0,0,0,0,Eligible,0.308677709334,3528,-257,-7.279731472, ,0.0344551410707678,5.15318763945065e-05
14,1957.10,A06037195710,0.18664092505,90026,39591,8031,93.069307,994,1313,0.757045,19.520265,4877,0.907053,0,0,0,0,Eligible,0.312538884543,4978,-101,-2.02892728, ,0.0292700225414513,4.72137161970592e-05
15,1957.20,A06037195720,0.11157583375,90026,44776,6752,73.664993,613,855,0.716959,30.071942,2206,0.907053,0,0,0,0,Eligible,0.309371554619,2726,-520,-19.0755686, ,0.0246858798335304,2.82245154998694e-05
16,1958.02,A06037195802,0.155412013756,90026,37063,6681,86.614757,632,899,0.703003,20.833333,2697,0.907053,0.790265,0,0,0,Eligible,0.372727726626,2909,-212,-7.287727741, ,0.0309713930857786,3.93143226859765e-05
17,2013.01,A06037201301,0.336971367685,90032,41304,4216,65.928067,313,1016,0.308071,35.185185,3146,0.800775,0,0,0,0,Eligible,0.273735318265,3678,-532,-14.46438282, ,0.0598287286254507,8.52559387439668e-05
18,2013.02,A06037201302,0.382896220072,90042,59674,4777,40.057803,53,1854,0.028587,30.725462,3464,0.869792,0,0,0,0,Eligible,0.245139019346,3642,-178,-4.887424492, ,0.0442200425692915,9.68864706177847e-05
19,2014.01,A06037201401,0.502616173928,90032,55058,19226,59.643211,307,1306,0.235069,43.257677,5045,0.697575,0,0,0,0,Eligible,0.282275064128,4738,307,6.479095461, ,0.0467662976181025,0.000127153359299906
20,2014.02,A06037201402,0.749498091791,90032,51281,12133,26.388282,233,1361,0.171198,22.673031,4574,0,0,0,0,0,Eligible,0.0735465002332,4484,90,2.007136485, ,0.0576114637285485,0.00018958354290058
21,1393.02,A06037139302,0.130610566983,91356,49946,4544,82.644991,1548,1956,0.791411,26.806212,4667,0,0,0,0,0,Eligible,0.179115635276,4338,329,7.584140157, ,0.0234649927301571,3.30803317381929e-05
22,1831.01,A06037183101,0.373705979707,90042,73875,21632,37.206735,437,1233,0.35442,40.127389,3623,0.869792,0.791699,0,0,0,Eligible,0.313780693843,3998,-375,-9.379689845, ,0.0500539602173231,9.45889189608428e-05
23,1832.20,A06037183220,0.206647726396,90042,51566,5542,57.040628,502,1185,0.423629,20.229555,4415,0.869792,0,0,0,0,Eligible,0.247227352139,4363,52,1.191840477, ,0.0406609376383239,5.23031283110673e-05
24,1833,A06037183300,0.208992126416,90042,57276,9048,40.106793,444,1011,0.439169,31.944444,3371,0.869792,0,0,0,0,Eligible,0.24650686478,3739,-368,-9.842203798, ,0.0309506467549368,5.28971568179766e-05
25,1835.20,A06037183520,0.165133197254,90042,39861,5345,72.763419,754,1033,0.729913,27.506775,3586,0.869792,0.909137,0,0,0,Eligible,0.359242869358,4138,-552,-13.33977767, ,0.0284585691143419,4.17911565855061e-05
26,1836.10,A06037183610,0.14619005078,90042,36618,12062,72.32801,559,934,0.598501,41.325811,3386,0.869792,1,0,0,0,Eligible,0.403119370195,3729,-343,-9.198176455, ,0.0287361877124061,3.69984686524389e-05
27,1838.20,A06037183820,0.119169067497,90042,35074,12900,75.714286,802,997,0.804413,40.458937,3920,0.869792,0.867342,0,0.621251,0,Eligible,0.485659145041,3590,330,9.192200557, ,0.0319861352818681,3.01562382974668e-05
28,1851,A06037185100,0.879530476028,90065,53927,7975,54.303626,692,2105,0.328741,41.447368,6240,0.832716,1,0,0,0.436781,Eligible,0.399279838871,6159,81,1.315148563, ,0.0769896493516077,0.000222571433240044
